prediction_file,target_file,field_name,evaluation_method,scoring_type,tp,fp,fn,tn,expected,actual
sonc50-621.cermine.xml,sonc50-621.nxml,section_titles,exact,set,0,1,0,0,"Anaesthesia, Choice of electrode, Conclusion, Cutaneous metastases: A challenge in cancer treatment, Discussion, Duration of procedure, ECT and its place in oncological practice, Electrochemotherapy, Electrochemotherapy in routine use, Injection of bleomycin, Patient population, Patients and methods, Procedure, Results, Safety, Statistical consideration, Study design, Treatment, Treatment response, Tumour response and safety assessment","-, Acknowledgements, Anaesthesia, Choice of electrode, Conclusion, Cutaneous metastases: A challenge in cancer treatment, Discussion, Duration of procedure, ECT and its place in oncological practice, Electrochemotherapy, Electrochemotherapy in routine use, General anaesthesia (for large or many cutaneous, Injection of bleomycin, Intratumoural treatment (for small or few cutaneous, Local anaesthesia (for small or few cutaneous metastases)., Patient population, Patients and methods, Procedure, Results, Safety, Statistical consideration, Study design, Treatment, Treatment response, Tumour response and safety assessment"
sonc50-621.cermine.xml,sonc50-621.nxml,section_titles,levenshtein,set,0,1,0,0,"Anaesthesia, Choice of electrode, Conclusion, Cutaneous metastases: A challenge in cancer treatment, Discussion, Duration of procedure, ECT and its place in oncological practice, Electrochemotherapy, Electrochemotherapy in routine use, Injection of bleomycin, Patient population, Patients and methods, Procedure, Results, Safety, Statistical consideration, Study design, Treatment, Treatment response, Tumour response and safety assessment","-, Acknowledgements, Anaesthesia, Choice of electrode, Conclusion, Cutaneous metastases: A challenge in cancer treatment, Discussion, Duration of procedure, ECT and its place in oncological practice, Electrochemotherapy, Electrochemotherapy in routine use, General anaesthesia (for large or many cutaneous, Injection of bleomycin, Intratumoural treatment (for small or few cutaneous, Local anaesthesia (for small or few cutaneous metastases)., Patient population, Patients and methods, Procedure, Results, Safety, Statistical consideration, Study design, Treatment, Treatment response, Tumour response and safety assessment"
sonc50-621.cermine.xml,sonc50-621.nxml,title,exact,string,1,0,0,0,Management of cutaneous metastases using electrochemotherapy,Management of cutaneous metastases using electrochemotherapy
sonc50-621.cermine.xml,sonc50-621.nxml,title,levenshtein,string,1,0,0,0,Management of cutaneous metastases using electrochemotherapy,Management of cutaneous metastases using electrochemotherapy
sonc50-621.cermine.xml,sonc50-621.nxml,author_surnames,exact,set,0,0,1,0,"Bond, Chalmers, Gehl, Humphreys, Kessell, Matthiessen, Muir, Sainsbury, Veeramani",
sonc50-621.cermine.xml,sonc50-621.nxml,author_surnames,levenshtein,set,0,0,1,0,"Bond, Chalmers, Gehl, Humphreys, Kessell, Matthiessen, Muir, Sainsbury, Veeramani",
sonc50-621.cermine.xml,sonc50-621.nxml,abstract,exact,string,0,1,0,0,"Background. Cutaneous metastases may cause considerable discomfort as a consequence of ulceration, oozing, bleeding and pain. Electrochemotherapy has proven to be highly effective in the treatment of cutaneous metastases. Electrochemotherapy utilises pulses of electricity to increase the permeability of the cell membrane and thereby augment the effect of chemotherapy. For the drug bleomycin, the effect is enhanced several hundred-fold, enabling once-only treatment. The primary endpoint of this study is to evaluate the efficacy of electrochemotherapy as a palliative treatment. Methods. This phase II study is a collaboration between two centres, one in Denmark and the other in the UK. Patients with cutaneous metastases of any histology were included. Bleomycin was administered intratumourally or intravenously followed by application of electric pulses to the tumour site. Results. Fifty-two patients were included. Complete and partial response rate was 68% and 18%, respectively, for cutaneous metastases <3 cm and 8% and 23%, respectively, for cutaneous metastases >3 cm. Treatment was well-tolerated by patients, including the elderly, and no serious adverse events were observed. Conclusions. ECT is an efficient and safe treatment and clinicians should not hesitate to use it even in the elderly.","Background. Cutaneous metastases may cause considerable discomfort as a consequence of ulceration, oozing, bleeding and pain. Electrochemotherapy has proven to be highly effective in the treatment of cutaneous metastases. Electrochemotherapy utilises pulses of electricity to increase the permeability of the cell membrane and thereby augment the effect of chemotherapy. For the drug bleomycin, the effect is enhanced several hundred-fold, enabling once-only treatment. The primary endpoint of this study is to evaluate the efficacy of electrochemotherapy as a palliative treatment. Methods. This phase II study is a collaboration between two centres, one in Denmark and the other in the UK. Patients with cutaneous metastases of any histology were included. Bleomycin was administered intratumourally or intravenously followed by application of electric pulses to the tumour site. Results. Fifty-two patients were included. Complete and partial response rate was 68% and 18%, respectively, for cutaneous metastases 3 cm and 8% and 23%, respectively, for cutaneous metastases 3 cm. Treatment was well-tolerated by patients, including the elderly, and no serious adverse events were observed. Conclusions. ECT is an efficient and safe treatment and clinicians should not hesitate to use it even in the elderly."
sonc50-621.cermine.xml,sonc50-621.nxml,abstract,levenshtein,string,1,0,0,0,"Background. Cutaneous metastases may cause considerable discomfort as a consequence of ulceration, oozing, bleeding and pain. Electrochemotherapy has proven to be highly effective in the treatment of cutaneous metastases. Electrochemotherapy utilises pulses of electricity to increase the permeability of the cell membrane and thereby augment the effect of chemotherapy. For the drug bleomycin, the effect is enhanced several hundred-fold, enabling once-only treatment. The primary endpoint of this study is to evaluate the efficacy of electrochemotherapy as a palliative treatment. Methods. This phase II study is a collaboration between two centres, one in Denmark and the other in the UK. Patients with cutaneous metastases of any histology were included. Bleomycin was administered intratumourally or intravenously followed by application of electric pulses to the tumour site. Results. Fifty-two patients were included. Complete and partial response rate was 68% and 18%, respectively, for cutaneous metastases <3 cm and 8% and 23%, respectively, for cutaneous metastases >3 cm. Treatment was well-tolerated by patients, including the elderly, and no serious adverse events were observed. Conclusions. ECT is an efficient and safe treatment and clinicians should not hesitate to use it even in the elderly.","Background. Cutaneous metastases may cause considerable discomfort as a consequence of ulceration, oozing, bleeding and pain. Electrochemotherapy has proven to be highly effective in the treatment of cutaneous metastases. Electrochemotherapy utilises pulses of electricity to increase the permeability of the cell membrane and thereby augment the effect of chemotherapy. For the drug bleomycin, the effect is enhanced several hundred-fold, enabling once-only treatment. The primary endpoint of this study is to evaluate the efficacy of electrochemotherapy as a palliative treatment. Methods. This phase II study is a collaboration between two centres, one in Denmark and the other in the UK. Patients with cutaneous metastases of any histology were included. Bleomycin was administered intratumourally or intravenously followed by application of electric pulses to the tumour site. Results. Fifty-two patients were included. Complete and partial response rate was 68% and 18%, respectively, for cutaneous metastases 3 cm and 8% and 23%, respectively, for cutaneous metastases 3 cm. Treatment was well-tolerated by patients, including the elderly, and no serious adverse events were observed. Conclusions. ECT is an efficient and safe treatment and clinicians should not hesitate to use it even in the elderly."
sonc50-621.cermine.xml,sonc50-621.nxml,author_full_names,exact,set,0,1,0,0,"Alison Claire Humphreys, David Christopher George Sainsbury, Gareth Kessell, Jane Elisabeth Bond, Julie Gehl, Louise Wichmann Matthiessen, Richard Ling Chalmers, Sivakumar Veeramani, Tobian Muir","ALISON CLAIRE HUMPHREYS, DAVID CHRISTOPHER GEORGE SAINSBURY, GARETH KESSELL, JANE ELISABETH BOND, JULIE GEHL, LOUISE WICHMANN MATTHIESSEN, RICHARD LING CHALMERS, SIVAKUMAR VEERAMANI, TOBIAN MUIR"
sonc50-621.cermine.xml,sonc50-621.nxml,author_full_names,levenshtein,set,0,1,0,0,"Alison Claire Humphreys, David Christopher George Sainsbury, Gareth Kessell, Jane Elisabeth Bond, Julie Gehl, Louise Wichmann Matthiessen, Richard Ling Chalmers, Sivakumar Veeramani, Tobian Muir","ALISON CLAIRE HUMPHREYS, DAVID CHRISTOPHER GEORGE SAINSBURY, GARETH KESSELL, JANE ELISABETH BOND, JULIE GEHL, LOUISE WICHMANN MATTHIESSEN, RICHARD LING CHALMERS, SIVAKUMAR VEERAMANI, TOBIAN MUIR"
