document_count,evaluation_method,scoring_type,field_name,stats_name,tp,fp,fn,tn,accuracy,precision,recall,f1
10,exact,list,first_reference_fields,,0,10,0,10,0.5,0.0,0,0
10,exact,list,,micro,,,,,0.5,0.0,0,0
10,exact,list,,macro,,,,,0.5,0.0,0.0,0.0
10,levenshtein,list,first_reference_fields,,7,3,0,3,0.7692307692307693,0.7,0.7,0.7
10,levenshtein,list,,micro,,,,,0.7692307692307693,0.7,0.7,0.7
10,levenshtein,list,,macro,,,,,0.7692307692307693,0.7,0.7,0.7
10,exact,partial_list,section_titles,,37,41,5,1829,0.9759414225941423,0.47435897435897434,0.4457831325301205,0.45962732919254656
10,exact,partial_list,table_strings,,0,19,1,1892,0.9895397489539749,0.0,0.0,0
10,exact,partial_list,table_labels,,1,18,0,1893,0.9905857740585774,0.05263157894736842,0.05263157894736842,0.05263157894736842
10,exact,partial_list,table_captions,,0,0,11,1901,0.9942468619246861,0,0.0,0
10,exact,partial_list,table_label_captions,,4,15,0,1893,0.9921548117154811,0.21052631578947367,0.21052631578947367,0.21052631578947367
10,exact,partial_list,reference_fields,,7,188,1,1716,0.9011506276150628,0.035897435897435895,0.03571428571428571,0.03580562659846547
10,exact,partial_list,reference_title,,63,56,15,1778,0.9628661087866108,0.5294117647058824,0.4701492537313433,0.4980237154150198
10,exact,partial_list,reference_year,,73,105,10,1724,0.9398535564853556,0.4101123595505618,0.3882978723404255,0.39890710382513656
10,exact,partial_list,reference_source,,68,97,18,1729,0.9398535564853556,0.4121212121212121,0.37158469945355194,0.3908045977011495
10,exact,partial_list,reference_volume,,67,98,14,1733,0.9414225941422594,0.40606060606060607,0.3743016759776536,0.38953488372093026
10,exact,partial_list,reference_fpage,,0,0,123,1789,0.9356694560669456,0,0.0,0
10,exact,partial_list,reference_lpage,,0,0,120,1792,0.9372384937238494,0,0.0,0
10,exact,partial_list,,micro,,,,,0.9583769177126917,0.3343782654127482,0.25098039215686274,0.2867383512544803
10,exact,partial_list,,macro,,,,,0.9583769177126918,0.21092668728595956,0.1957490678736852,0.20298842926584082
10,levenshtein,partial_list,section_titles,,38,40,5,1712,0.9749303621169917,0.48717948717948717,0.4578313253012048,0.4720496894409938
